Reference, Quantity, Value, Footprint, Datasheet
BT1 ,1,2xAAA,FritzLib:DUAL_AAA_HOLDER,
C11 C12 C15 C16 C26 ,5,1uF,,
C10 C13 C14 C18 C19 C21 C22 C23 C4 C6 C7 C8 ,12,100nF,,
C20 C24 ,2,15pF,,
C25 ,1,4.7uF,,
C27 ,1,4.5nF,,
C1 C17 C2 C3 C5 ,5,10uF,,
C9 ,1,10nF,,
D1 D2 D3 D4 D5 D6 ,6,C155GEKT,,
L1 ,1,10uH,,
P1 ,1,JTAGICE3,,
P2 ,1,UART,,
P3 ,1,USB_OTG,,
P4 ,1,SPI_FLASH,,
Q1 Q10 Q11 Q12 Q2 Q3 Q4 Q5 Q6 Q7 Q8 Q9 ,12,BSS806NE,,
R1 R10 R12 R13 R15 R16 R18 R19 R21 R22 R24 R25 R27 R29 R3 R31 R32 R37 R39 R41 R42 R44 R5 R7 R8 ,25,68R,,
R11 R14 R17 R2 R20 R23 R26 R28 R30 R33 R34 R40 R43 R6 R9 ,15,10k,,
R35 R36 ,2,150k,,
R38 ,1,1M,,
R4 ,1,1k,,
SP1 ,1,SPEAKER,,
SW1 ,1,~RST,,
SW2 ,1,WKUP,,
U1 ,1,LP3985,,
U2 ,1,LTC4413,,
U3 ,1,ATSAML21J,Housings_DFN_QFN:QFN-64-1EP_9x9mm_Pitch0.5mm,DOCUMENTATION
U4 ,1,MX25R6435F,,
U5 ,1,LM4670,,
Y1 ,1,12MHz,,
